SDSname,SDSid
SDS1,084c793800000002
SDS2,084c793700000001
SDS3,084c793600000000

devId,devName,devSdsId,devCurrentPath
7d39b2da00020000,sds1_sdb_dev,084c793800000002,/dev/sdb
7d37b2d900010000,sds2_sdb_dev,084c793700000001,/dev/sdb
7d37b2d800000000,sds3_sdb_devp,084c793600000000,/dev/sdb

Timestamp,7d39b2da00020000 PrimaryWriteBwcnumSeconds,7d39b2da00020000 PrimaryWriteBwcPrimaryWeightInKb,7d39b2da00020000 PrimaryWriteBwcnumOccured,7d39b2da00020000 avgWriteLatencyInMicrosec,7d39b2da00020000 PrimaryReadBwcnumSeconds,7d39b2da00020000 PrimaryReadBwcPrimaryWeightInKb,7d39b2da00020000 PrimaryReadBwcnumOccured,7d39b2da00020000 avgReadLatencyInMicrosec,7d37b2d900010000 PrimaryWriteBwcnumSeconds,7d37b2d900010000 PrimaryWriteBwcPrimaryWeightInKb,7d37b2d900010000 PrimaryWriteBwcnumOccured,7d37b2d900010000 avgWriteLatencyInMicrosec,7d37b2d900010000 PrimaryReadBwcnumSeconds,7d37b2d900010000 PrimaryReadBwcPrimaryWeightInKb,7d37b2d900010000 PrimaryReadBwcnumOccured,7d37b2d900010000 avgReadLatencyInMicrosec,7d37b2d800000000 PrimaryWriteBwcnumSeconds,7d37b2d800000000 PrimaryWriteBwcPrimaryWeightInKb,7d37b2d800000000 PrimaryWriteBwcnumOccured,7d37b2d800000000 avgWriteLatencyInMicrosec,7d37b2d800000000 PrimaryReadBwcnumSeconds,7d37b2d800000000 PrimaryReadBwcPrimaryWeightInKb,7d37b2d800000000 PrimaryReadBwcnumOccured,7d37b2d800000000 avgReadLatencyInMicrosec
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
15-45-56,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,3678
